Name of the station,Year,srcStateName,StateCode,StateName,IntermediateRatio
"THANGADI , MAHABOOBNAGAR DIST",2016,TELANGANA,36,TELANGANA,1
"GANGA AT BUXAR,BIHAR",2013,BIHAR,10,BIHAR,1
"CAUVERY AT RANGANATHITTU, KARNATAKA",2014,KARNATAKA,29,KARNATAKA,1
KUAKHAI D/S BHUBANESWAR,2016,ODISHA,21,ODISHA,1
BAITARNI AT JAJPUR,2019,ODISHA,21,ODISHA,1
"CAUVERY AT VELORE NEAR KATTIPALAYAM, TAMILNADU",2017,TAMIL NADU,33,TAMIL NADU,1
KRISHNA RIVER AT KRISHNA-VENNA SANGAM AT MAHULI.,2014,MAHARASHTRA,27,MAHARASHTRA,1
"DIHING RIVER AT MIAO,",2017,ASSAM,18,ASSAM,1
DAMODAR AT D/S OF IISCO AFTER 3RD OUTFALL AT DHENNA,2012,WEST BENGAL,19,WEST BENGAL,1
"CHUNT KOL * (MAULANA AZAD BRIDGE), J&K",2014,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"GANGA AT RISHIKESH U/S, U.P",2013,UTTARAKHAND,5,UTTARAKHAND,1
SUBARNAREKHA AT CHANDIL BRIDGE,2019,JHARKHAND,20,JHARKHAND,1
"UPSTREAM OF BHIM SAGAR DAM, JHALAWAR, RAJASTHAN",2018,RAJASTHAN,8,RAJASTHAN,1
BHELLA RIVER U/S KASHIPUR,2019,UTTARAKHAND,5,UTTARAKHAND,1
"PENGANGA AT MEHKAR-BULDANA ROAD BRIDGE, MEHKAR, BULDANA",2012,MAHARASHTRA,27,MAHARASHTRA,1
SUTLEJ RIVER D/S POWER HOUSE KASHANG HEP,2019,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
JHELAM AT ANANTNAG D/S,2017,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"GOMAI RIVER D/S OF SHAHADA, DHULE",2017,MAHARASHTRA,27,MAHARASHTRA,1
RIVER TAPTI AT NEPA NAGAR 100 METRE D/S AFTER MIXI,2018,MADHYA PRADESH,23,MADHYA PRADESH,1
"BHIMA AT FEROZABAD VILLAGE (D/S),",2017,KARNATAKA,29,KARNATAKA,1
"SUTLEJ AT U/S HEAD WORKS ROPAR, PUNJAB",2018,PUNJAB,3,PUNJAB,1
DAMODAR AT PHUSRO ROAD BRIDGE,2016,JHARKHAND,20,JHARKHAND,1
"BORAK AT PANCHAGRAM , ASSAM",2013,ASSAM,18,ASSAM,1
TAWI BELOW TAWI BRIDGE,2017,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
KHANDITARA (D/S OF INDUSTRIAL ACTIVITIES AT KALINGA NAGAR),2014,ODISHA,21,ODISHA,1
POONPUN NEAR POONPUN RAIL BRIDGE,2016,BIHAR,10,BIHAR,1
"BRAHAMPUTRA AT KHERGHAT (AFTER CONFL. WITH DIBANG & DIHANG), ASSAM",2017,ASSAM,18,ASSAM,1
"DARNA RIVER AT CHEHEDI PUMPING STATION, NASHIK.",2013,MAHARASHTRA,27,MAHARASHTRA,1
D/S (SHUKLAGANJ),2017,"UTTAR
PRADESH",9,UTTAR PRADESH,1
"SUBARNREKHA RIVER U/S HINDALCO IND LTD, MURLI WORKS, CHHOTAMURI, RANCHI",2019,JHARKHAND,20,JHARKHAND,1
"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",2018,TELANGANA,36,TELANGANA,1
YAMUNA D/S MATHURA,2016,UTTAR PRADESH,9,UTTAR PRADESH,1
KOYNA RIVER AT KARAD.,2013,MAHARASHTRA,27,MAHARASHTRA,1
BINWA D/S PAPROLA/BAIJNATH,2016,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
KSHIPRA AT SIDDHAWAT (D/S) OF UJJAIN,2016,MADHYA PRADESH,23,MADHYA PRADESH,1
CHANDRABHAGA U/S OF PANDHARPUR TOWN,2013,MAHARASHTRA,27,MAHARASHTRA,1
HINDON AT GHAZIABAD D/S,2012,UTTAR PRADESH,9,UTTAR PRADESH,1
"GANGA AT INDRAPURI, DEHRI ON SONE",2014,BIHAR,10,BIHAR,1
MAHI AT SEVALIA,2017,GUJARAT,24,GUJARAT,1
"MUTHA RIVER AT DECCAN BRIDGE, VILLAGE DECCAN,TALUKA PUNE, DISTRICT PUNE.",2018,MAHARASHTRA,27,MAHARASHTRA,1
"ARKAVATHI AT D/S OF KANAKAPURA TOWN, KARNATAKA",2013,KARNATAKA,29,KARNATAKA,1
BAITARNI AT JAJPUR,2012,ORISSA,21,ODISHA,1
"TAPI AT UKAI, SHERULA BRIDGE",2017,GUJARAT,24,GUJARAT,1
"ARKAVATHI AT D/S OF KANAKAPURA TOWN,",2019,KARNATAKA,29,KARNATAKA,1
KALINAD B/CI AT KANNAUJ,2016,UTTAR PRADESH,9,UTTAR PRADESH,1
"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL",2013,ANDHRA PRADESH,36,TELANGANA,1
RIVER CHILLAR AT SHAJAPUR,2013,MADHYA PRADESH,23,MADHYA PRADESH,1
RIVER GANGA U/S NEAR LCT GHAT,2019,JHARKHAND,20,JHARKHAND,1
"BASANTER U/S (R.H.S) SAMBA (BELOW NH1A BRIDGE),",2019,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"GANDAK B/C AT SONEPUR, PATNA",2016,BIHAR,10,BIHAR,1
SANKHA U/s ( D/S OF MANDIRA DAM),2019,ODISHA,21,ODISHA,1
"DHANSIRI AT GOLAGHAT, ASSAM",2013,ASSAM,18,ASSAM,1
"BHIMA AT TAKLI, MAHARASHTRA",2013,MAHARASHTRA,27,MAHARASHTRA,1
"GODAVARI D/S RAMAGUNDAM, NEAR FCI INTAKE WELL, KARIMNAGAR",2016,TELANGANA,36,TELANGANA,1
"DARNA RIVER AT BHAGUR PUMPING STATION NEAR PANDHURLI BRIDGE, BHAGUR, NASHIK.",2013,MAHARASHTRA,27,MAHARASHTRA,1
GANGA AT BAHARAMPORE,2017,WEST BENGAL,19,WEST BENGAL,1
"GODAVARI AT MANCHERIAL, NEAR RLY BDG B/C OF RALLAVAGU",2014,ANDHRA PRADESH,36,TELANGANA,1
KUSUMI NADI NEAR TANGI (LAXMIDHARA PUR),2017,ODISHA,21,ODISHA,1
"MORA BHARALI AT TEZPUR, ASSAM",2013,ASSAM,18,ASSAM,1
LIDDER NALLAH AT BUS ADDA,2017,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
FARMAR AT JOGBANI,2014,BIHAR,10,BIHAR,1
RIVER GANGA AT FARUKKABAD,2019,UTTAR PRADESH,9,UTTAR PRADESH,1
"RIVER JAMMER AT DHOLOWAD, RATLAM",2018,MADHYA PRADESH,23,MADHYA PRADESH,1
"RIVER RAPTI AT RAJGHAT, GORAKHPUR",2019,UTTAR PRADESH,9,UTTAR PRADESH,1
KRISHNA ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD,2019,KARNATAKA,29,KARNATAKA,1
KRISHNA AT GADWAL BRIDGE,2019,TELANGANA,36,TELANGANA,1
"WARDHA RIVER AT U/S OF ACC LTD. GHUGGUS NEAR WCL PUMP HOUSE, VILLAGE GHUGGUS, TALUKA CHANDRAPUR, DISTRICT CHANDRAPUR.",2018,MAHARASHTRA,27,MAHARASHTRA,1
"YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL), DELHI",2019,DELHI,7,DELHI,1
"SONE AT AMLAI, 100 METRE D/S AFTER MIXING OF ATPS EFFLUENT, REWA",2012,MADHYA PRADESH,23,MADHYA PRADESH,1
"GODAVARI AT RAMAGUNDAM D/S, NR FCI INTAKE WELL, KARIMNAGAR",2012,ANDHRA PRADESH,36,TELANGANA,1
KRISHNA ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD,2018,KARNATAKA,29,KARNATAKA,1
"WAINGANGA AT BALAGHAT, M.P.",2018,"MADHYA
PRADESH",23,MADHYA PRADESH,1
"PENGANGA RIVER NEAR WATER SUPPLY SCHEME OF UMARKHED MC BELKHED, UMARKHED, YAVATMAL",2019,MAHARASHTRA,27,MAHARASHTRA,1
BHELLA RIVER AT LOHIYA BRIDGE D/S KASHIPUR,2017,UTTARAKHAND,5,UTTARAKHAND,1
KRISHNA AT HAMSALADEEVI,2017,ANDHRA PRADESH,28,ANDHRA PRADESH,1
"NARMADA LALPUR, JABALPUR",2016,MADHYA PRADESH,23,MADHYA PRADESH,1
"MUTHA RIVER NEAR VEER SAVARKAR BHAVAN, PUNE.",2013,MAHARASHTRA,27,MAHARASHTRA,1
"NARMADA AT BADWANI, M.P.",2017,MADHYA PRADESH,23,MADHYA PRADESH,1
"AMARAVATI , GUNTUR DIST., A.P",2013,ANDHRA PRADESH,28,ANDHRA PRADESH,1
"DS OF SILABATI AT GHATAL,",2018,WEST BENGAL,19,WEST BENGAL,1
"CAUVERY AT KRS DAM,BALAMURIKSHETRA,KARNATAKA",2014,KARNATAKA,29,KARNATAKA,1
"YAMUNA AT JUHIKA B/C WITH CHANBAL, ETAWAH, U.P",2014,"CPCB, DELHI",7,UTTAR PRADESH,1
"WAINGANGA AT CHHAPARA, NEAR W/S INTAKE POINT, JABALPUR",2013,MADHYA PRADESH,23,MADHYA PRADESH,1
"BURHI GANDAK AT AKHARAGHAT, MUZAFFARPUR",2019,BIHAR,10,BIHAR,1
RAVI AT CHAMERA RESERVOIR,2016,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"KATHAKAL, U/S AT MATIJURI, DIST. HAILAKANDI",2016,ASSAM,18,ASSAM,1
CAUVERY AT COLEROON,2018,TAMIL NADU,33,TAMIL NADU,1
"KSHIPRA AT U/S OF MAHIDPUR CITY, UJJAIN",2016,MADHYA PRADESH,23,MADHYA PRADESH,1
"L.H.S.(BELOW BRIDGE CHENAB), J&K",2018,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
SANKHA U/S ( D/S OF MANDIRA DAM),2017,ODISHA,21,ODISHA,1
"SABARMATI AT MAHUDI JAIN TEMPLE, 150 KM. FORM ORIGIN",2012,GUJARAT,24,GUJARAT,1
SUBARNAREKHA AT CHANDIL BRIDGE,2012,JHARKHAND,20,JHARKHAND,1
"KALINADI AT KANNAUJ (BEFORE CONF.), U.P",2019,UTTAR PRADESH,9,UTTAR PRADESH,1
MANJEERA AT GOWDICHARLA B/C WITH NAKKAVAGU,2016,TELANGANA,36,TELANGANA,1
"GANGA AT KANPUR U/S (RANIGHAT), U.P",2014,UTTAR PRADESH,9,UTTAR PRADESH,1
"GODAVARI U/S RAMAGUNDAM, KARIMNAGAR",2016,TELANGANA,36,TELANGANA,1
FARMAR AT JOGBANI,2016,BIHAR,10,BIHAR,1
"CAUVERY AT KOMARAPALAYAM, NAMAKAL",2016,TAMIL NADU,33,TAMIL NADU,1
BEAS D/S MANDI,2016,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
KATHAJODI AT CUTTACK U/S,2017,ODISHA,21,ODISHA,1
WATER SUPPLY INTAKE POINT AT KOLLEGALA DASANAPURA,2018,KARNATAKA,29,KARNATAKA,1
"BHAVANI AT D/S OF BHAVANI SAGAR, SATHYAMANGALAM, ERODE",2012,TAMILNADU,33,TAMIL NADU,1
"PENGANGA RIVER AT MEHKAR-BULDANA ROAD BRIDGE, MEHKAR, BULDANA",2014,MAHARASHTRA,27,MAHARASHTRA,1
KARO RIVER T BADBIL,2019,ODISHA,21,ODISHA,1
SAMBHALPUR FDS AT HUMA,2014,ODISHA,21,ODISHA,1
ARRAH CHAPRA ROAD BRIDGE (KOILWER BANURACHAPRA ROAD),2017,BIHAR,10,BIHAR,1
"TUNGHABHADRA AT HARALAHALLI BRIDGE, KARNATAKA",2014,KARNATAKA,29,KARNATAKA,1
NARMADA AT NARSINGHPUR M.P.,2018,MADHYA PRADESH,23,MADHYA PRADESH,1
RIVER GOMTI AT PIPRAGHAT D/S,2017,UTTAR PRADESH,9,UTTAR PRADESH,1
"YAMUNA AT VISHRAMGHAT, MATHURA",2017,UTTAR PRADESH,9,UTTAR PRADESH,1
"JHANJI AT N.H. CROSSING JORHAT, ASSAM",2018,ASSAM,18,ASSAM,1
"YAMUNA AT ALLAHABAD D/S (BALUA GHAT), U.P",2013,UTTAR PRADESH,9,UTTAR PRADESH,1
KUSUMI NADI NEAR TANGI (LAXMIDHARA PUR),2018,ODISHA,21,ODISHA,1
"MUTHA NEAR VEER SAVARKAR BHAVAN, PUNE",2016,MAHARASHTRA,27,MAHARASHTRA,1
SUBARNAREKHA AT HATIA DAM,2018,JHARKHAND,20,JHARKHAND,1
GANGA D/S ANOOPSHAHAR,2016,UTTAR PRADESH,9,UTTAR PRADESH,1
GANGA AT MOKAMA (D/S),2017,BIHAR,10,BIHAR,1
"MANUSMAR AT RIGA, SITAMARHI",2012,BIHAR,10,BIHAR,1
MAHANADI AT NARSINGHPUR,2017,ODISHA,21,ODISHA,1
"PENNAR B/CWITH CHITRAVATHI, TADPATRI, UNGANOOR",2016,ANDHRA PRADESH,28,ANDHRA PRADESH,1
GANGA AT NARORA (BULANDSAHAR),2016,UTTAR PRADESH,9,UTTAR PRADESH,1
"CHHAPI AT UPSTREAM OF CHHAPI DAM, JHALAWAR, RAJASTHAN",2014,RAJASTHAN,8,RAJASTHAN,1
"WAINGANGA RIVER AT D/S OF GAURAV PAPER MILLS, NEAR JACKWELL, VILLAGE BRAMHPURI,",2018,MAHARASHTRA,27,MAHARASHTRA,1
PURNA AT DHUPESHWAR,2014,MAHARASHTRA,27,MAHARASHTRA,1
"CHOUPAN AT VIJAYPUR U/S NFL NALLA, GUNA",2019,"MADHYA
PRADESH",23,MADHYA PRADESH,1
PABBAR AT D/S SWARAKUDDU,2014,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"BRAHMANI AT D/S PANPOSH, ORISSA",2013,ORISSA,21,ODISHA,1
DAYA AT BHUBANESWAR FD/s ( 2 KM AFTER CONFLUENCE OF GANGUA NALLAH WITH RIVER DAYA),2019,ODISHA,21,ODISHA,1
"RIHAND AT RENUKUT D/S, U.P.",2018,UTTAR PRADESH,9,UTTAR PRADESH,1
"SUBARNAREKHA AT RANCHI, (TATISILWAI)",2017,JHARKHAND,20,JHARKHAND,1
GODAVARI RIVER NEAR TAPOVAN.,2017,MAHARASHTRA,27,MAHARASHTRA,1
D/S OF CAUVERY AT BHAGAMANDALA BRIDGE,2018,KARNATAKA,29,KARNATAKA,1
"BAKHTIYARPUR TAJPUR BRIDGE ON GANGA, ATHMALGOLA",2018,BIHAR,10,BIHAR,1
WATER INTAKE POINT FOR BANKURA TOWN ON RIVER DWARAKESHWAR,2013,WEST BENGAL,19,WEST BENGAL,1
BRAHMANI AT DHARMASHALA U/S,2017,ODISHA,21,ODISHA,1
BEAS AT D/S AUT,2012,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"SUTLEJ AT D/S KIRATPUR SAHIB, PUNJAB",2018,PUNJAB,3,PUNJAB,1
GANGA AT PALTA,2019,WEST BENGAL,19,WEST BENGAL,1
"GIRI RIVER D/S CEMENT CORPORATION OF INDIA, RAJBAN",2019,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"KOHORA AT N.H. CROSSING, KOHORA",2016,ASSAM,18,ASSAM,1
"CAUVERY AT MUSIRI, TAMIL NADU",2013,TAMILNADU,33,TAMIL NADU,1
BATTA B/C TO YAMUNA,2016,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
KABBANI D/S SARAGUR VILLAGE,2016,KARNATAKA,29,KARNATAKA,1
CAUVERY AT BANNUR BRIDGE,2012,KARNATAKA,29,KARNATAKA,1
BASPA AT U/S RESERVOIR BASPA PROJECT,2014,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
RUSHIKULYA AT ASKA,2018,ODISHA,21,ODISHA,1
TUNGABHADRA AT HONNALI BRIDGE,2017,KARNATAKA,29,KARNATAKA,1
"SATLUJ AT D/S SLAPPER, H.P.",2013,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"HASDEO, DRINKING WATER INTAKE WELL OF MUNICIPAL CO. KORBA (BEFORE TREATMENT) AT KOHADIA VILLAGE",2016,CHHATTISGARH,22,CHHATTISGARH,1
"BRAHAMPUTRA RIVER AT BOGIBEEL BRIDGE, BOGIBEEL, DIBRUGARH",2017,ASSAM,18,ASSAM,1
"MANJERA AT RAIPALLU, A.P.",2013,ANDHRA PRADESH,36,TELANGANA,1
BADASANKHA NADI NEAR LANGALESWAR,2018,ODISHA,21,ODISHA,1
"CONFLUENCE OF BOKARO & DAMODAR RIVER NEAR ZARANGDIH BRIDGE,",2019,JHARKHAND,20,JHARKHAND,1
"NEAR NEWTA DAM, JAIPUR, RAJASTHAN",2019,RAJASTHAN,8,RAJASTHAN,1
"WENA RIVER AT D/S OF MOHATA MILLS, NR RD BRG ON HINGANGHAT-WADNER ROAD",2013,MAHARASHTRA,27,MAHARASHTRA,1
"WAINGANGA AT CHINDWARA, M.P.",2018,"MADHYA
PRADESH",23,MADHYA PRADESH,1
"JHELUM ATSPORE, CONFLUENCE POINT OF WULAR LAKE",2016,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
FARMAR AT JOGBANI,2012,BIHAR,10,BIHAR,1
BEKI RIVER AT NH-37 CROSSING AT BARPETA ROAD,2012,ASSAM,18,ASSAM,1
"SANKOSH RIVER, DHUBRI",2012,ASSAM,18,ASSAM,1
"RIHAND AT RENUKUT D/S, U.P.",2019,UTTAR PRADESH,9,UTTAR PRADESH,1
"MANJRA AT D/S OF LATUR,NR LATUR- NANDED BDG, BHATKHEDA, LATUR.",2012,MAHARASHTRA,27,MAHARASHTRA,1
"BURHIDIHING RIVER AT DULIAJAN (INTAKE POINT OF OIL INDIA LTD.), ASSAM",2017,ASSAM,18,ASSAM,1
"GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON, KALUMB, OSMANABAD",2019,MAHARASHTRA,27,MAHARASHTRA,1
"DIKHOW RIVER AT DIKHOW BRIDGE SIVASAGAR, ASSAM",2017,ASSAM,18,ASSAM,1
"GODAVARI AT RAJAHMUNDRY U/S, A.P.",2013,ANDHRA PRADESH,36,ANDHRA PRADESH,1
"PAWANA RIVER AT PIMPRIGAON, VILLAGE PIMPRIGAON, TALUKA HAWELI, DISTRICT PUNE.",2018,MAHARASHTRA,27,MAHARASHTRA,1
KUSHIARA RIVER AT KARIMGANJ,2012,ASSAM,18,ASSAM,1
"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",2014,UTTAR PRADESH,9,UTTAR PRADESH,1
"RIHAND AT RENUKUT U/S, U.P.",2018,UTTAR PRADESH,9,UTTAR PRADESH,1
"DHANSIRI AT BRIDGE NEAR PURANA BAZAAR, NAGALAND",2017,NAGALAND,13,NAGALAND,1
"BHIMA AT NARSINGHPUR,(D/S AF.CONFL.WITH R.NIRA),MAHARASHTRA",2014,MAHARASHTRA,27,MAHARASHTRA,1
MANDAPAL,2018,ODISHA,21,ODISHA,1
RIVER CHILLAR AT SHAJAPUR,2018,MADHYA PRADESH,23,MADHYA PRADESH,1
JHELUM AT AWANTIPORA,2016,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"MANJEERA NEAR GANAPATHI SUGARS , DIST MEDAK",2016,TELANGANA,36,TELANGANA,1
"BHAVANI AT BHAVANI, TAMILNADU",2013,TAMILNADU,33,TAMIL NADU,1
BINWA AT D/S PAPROLA/BAIJNATH,2019,"HIMACHAL
PRADESH",2,HIMACHAL PRADESH,1
"ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG, UTTAR PRADESH",2013,UTTARAKHAND,5,UTTARAKHAND,1
GANGA AT BHAGALPUR,2019,BIHAR,10,BIHAR,1
"BORSILA RIVER AT BORSILA, DEOPANI, NAMTI",2019,ASSAM,18,ASSAM,1
"BURAI RIVER BEFORE CONFLUECE TO TAPI RIVER, MUKUDAS, DHULE",2012,MAHARASHTRA,27,MAHARASHTRA,1
"SABARMATI AT VILL. MIROLI TALUKA DASCROI,",2019,GUJARAT,24,GUJARAT,1
RIVER GNAGA TA CHUNAR,2019,UTTAR PRADESH,9,UTTAR PRADESH,1
KABATABANDHA (BEFORE IMPACT OF INDUSTRIAL ACTIVITY IN KALINGANAGAR AREA),2013,ORISSA,21,ODISHA,1
BETWA AT GOVIND SAGAR,2012,UTTAR PRADESH,9,UTTAR PRADESH,1
"YAMUNA AT VISHRAMGHAT, MATHURA",2014,UTTAR PRADESH,9,UTTAR PRADESH,1
KRISHNA D/S ISLAMPUR,2016,MAHARASHTRA,27,MAHARASHTRA,1
"BHAVANI AT ELACHIVAZHY, KERALA",2013,KERALA,32,KERALA,1
"NARMADA AT BADWANI,",2019,"MADHYA
PRADESH",23,MADHYA PRADESH,1
KABINI AT WATER SUPPLY INTAKE POINT TO T. NARASIPURA,2017,KARNATAKA,29,KARNATAKA,1
DAHA RIVER AT MEERGANJ,2012,BIHAR,10,BIHAR,1
MULAMUTHA RIVER AT MUNDHAWA BRIDGE.,2017,MAHARASHTRA,27,MAHARASHTRA,1
KOSI RIVER AT KASHIPUR BAJPUR ROAD BRIDGE,2013,UTTARAKHAND,5,UTTARAKHAND,1
"SONE AT AMLAI, 100 METRE D/S AFTER MIXING OF ATPS",2016,MADHYA PRADESH,23,MADHYA PRADESH,1
ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,2016,UTTARAKHAND,5,UTTARAKHAND,1
SAMBHALPUR FDS AT HUMA,2013,ORISSA,21,ODISHA,1
VAMSADHARA AT GUNUPUR (INTERSTATE BOUN),2017,ODISHA,21,ODISHA,1
"MOR RIVER NEAR PADALSHE, JALGAON",2019,MAHARASHTRA,27,MAHARASHTRA,1
"GANGA AT VARANASI U/S (ASSIGHAT), U.P",2013,UTTAR PRADESH,9,UTTAR PRADESH,1
"ROAD BRIDGEDEHRION SONE, ROHTAS",2019,BIHAR,10,BIHAR,1
DIKHOW RIVER AT NAGINI MORA (INTERSTATE BOUNDARIE,2018,ASSAM,18,ASSAM,1
"PANCHNAI RIVER AT NH-52 CROSSING, ORANG",2014,ASSAM,18,ASSAM,1
"NIRA RIVER AT SANGAVI, PHALTAN, SATARA",2019,MAHARASHTRA,27,MAHARASHTRA,1
"MAHANADI AT ARRANG, RAIPUR, CHHATISGARH.",2019,CHHATTISGARH,22,CHHATTISGARH,1
"PENGANGA D/S OF ISAPUR DAM, ISAPUR, PUSAD, YAVATMAL",2016,MAHARASHTRA,27,MAHARASHTRA,1
"MANDA RIVER (DUDHAI RIVER) AT JAMPA,",2017,MEGHALAYA,17,MEGHALAYA,1
"SATLUJ AT 100M D/S BUDHA NALA CONFL.,LUDHIANA",2012,PUNJAB,3,PUNJAB,1
BEAS U/S MANDI,2019,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
MANJEERA AT GOWDICHARLA B/C WITH NAKKAVAGU,2017,ANDHRA PRADESH,36,TELANGANA,1
"LIDDER AT YANEER, D/S OF PHALGUM",2019,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"MUSI U/S AT HYDERABAD, A.P.",2013,ANDHRA PRADESH,36,TELANGANA,1
"LIDDER NALLAH AT YANEER, D/S OF PHALGUM",2014,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"PAGLDIA RIVER NEAR NALBARI TOWN, DIST. NALBARI, ASSAM",2014,ASSAM,18,ASSAM,1
SAMBA (AT CHAK MANGA GUJJAR) BASANTAR D/S (R.H.S),2016,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
RIVER GANGA AT BATHING GHAT (JAJMAU BRIDGE),2019,UTTAR PRADESH,9,UTTAR PRADESH,1
GANGA AT U/S SULATANGANJ,2018,BIHAR,10,BIHAR,1
"MAHANADI AT NARSINGHPUR, ODISHA",2014,ODISHA,21,ODISHA,1
KENDRAPADA D/S,2018,ODISHA,21,ODISHA,1
MANJEERA AT RAIPALLU,2017,ANDHRA PRADESH,36,TELANGANA,1
"KINNERASANI A/C OF KTPS ASH POND EFFLUENTS, KHAMMAM",2012,ANDHRA PRADESH,36,TELANGANA,1
"GANGA AT KALA KANKAR, RAEBARELI",2016,UTTAR PRADESH,9,UTTAR PRADESH,1
DOWNSTREAM OF HASDEO RIVER NEAR URGA VILLAGE KORBA,2013,CHHATTISGARH,22,CHHATTISGARH,1
"BHIMA RIVER-BACKWATER OF UJANI DAM NEAR RAW WATER PUMP HOUSE, KUMBARGAON, INDAPUR, PUNE",2014,MAHARASHTRA,27,MAHARASHTRA,1
"THANGADI , MAHABOOBNAGAR DIST., A.P",2013,ANDHRA PRADESH,36,TELANGANA,1
"NIRA RIVER AT SAROLA BRIDGE, VILLAGE SAROLA, TALUKABHOR,",2018,MAHARASHTRA,27,MAHARASHTRA,1
RANGA NADI D/S OF HYDEL PROJECT,2016,ASSAM,18,ASSAM,1
RIVER NARMADA AT NEMAWAR,2013,MADHYA PRADESH,23,MADHYA PRADESH,1
CAUVERY AT COLEROON,2016,TAMIL NADU,33,TAMIL NADU,1
NARMADA AT HOSHANGABAD U S,2012,MADHYA PRADESH,23,MADHYA PRADESH,1
"JHELUM RIVER AT SANGAM, CONFLUENCE POINT OF VISHAV NALLAH",2019,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"KANHAN RIVER U/S OF M/S VIDHARBHA PAPER MILL, SINORA.",2012,MAHARASHTRA,27,MAHARASHTRA,1
"UJAD AT BHIM SAGAR DAM UPSTREAM , JHALAWAR, RAJASTHAN",2019,RAJASTHAN,8,RAJASTHAN,1
"GOMAI RIVER D/S OF SHAHADA, DHULE",2019,MAHARASHTRA,27,MAHARASHTRA,1
"GANGA AT INDRAPURI, DEHRI ON SONE",2013,BIHAR,10,BIHAR,1
WARDHA D/S OF ACC GHUGGUS.,2012,MAHARASHTRA,27,MAHARASHTRA,1
BAITARNI AT DHAMRA,2017,ODISHA,21,ODISHA,1
"BHAVANI AT SIRUMUGAI,TAMILNADU",2014,TAMILNADU,33,TAMIL NADU,1
RAVI AT U/S CHAMBA,2017,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"BEAS AT U/S MANALI, H.P.",2014,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
SONE DEORA U/S RIHAND (M. P.),2019,MADHYA PRADESH,23,MADHYA PRADESH,1
"KINNERASANI A/C OF KTPS ASH POND EFFLUENTS, KHAMMAM",2017,ANDHRA PRADESH,36,TELANGANA,1
"LIDDER NERA BUMZOO, ANANTNAG",2019,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"NIRA RIVER AT U/S OF JUBILANT ORGANOSIS, VILLAGE NIRA (DATTAGHAT),TALUKA BARAMATI, DISTRICT PUNE.",2018,MAHARASHTRA,27,MAHARASHTRA,1
"TAPI AT UPHAD VILLAGE, MAHARASHTRA",2014,MAHARASHTRA,27,MAHARASHTRA,1
"MUTHAAT KHADAKVASLA DAM, KHADAKVASLA, HAWELI, PUNE.",2012,MAHARASHTRA,27,MAHARASHTRA,1
BATTA AT U/S PAONTA,2014,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
CAUVERY AT WATER SUPPLY INTAKE POINT TO MYSORE PUMP HOUSE,2017,KARNATAKA,29,KARNATAKA,1
SATLUJ AT NEPTHA ZAKHAI,2012,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
TUNGABHADRA AT CONFLUENCE POINT OF TUNGA AND BHADRA AT KUDLI,2017,KARNATAKA,29,KARNATAKA,1
TAWI AT BAGHEBAHU LIFTING POINT(1 KM U/S TAWI BRIDGE),2017,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"KOLAR BEFORE CONFLUENCE TO KANHAN AT WAREGAON, KAMPTEE, NAGPUR",2019,MAHARASHTRA,27,MAHARASHTRA,1
