Station code,Station name,srcStateName,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required required for ground water,Maximum  of Nitrate N + Nitrite N required required for ground water,Minimum  of Faecal Coliforms required for ground water,Maximum   of Faecal Coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,srcYear,YearCode,Year
2538,MOREGRAM CROSSING,WEST BENGAL,29,29,7,7,306,306,1.2,3.5,0.6,0.7,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2540,SATI GHAT AT BANKURA TOWN,WEST BENGAL,28,30,7.5,7.5,1727,1854,0.8,0.9,0.2,0.2,4,4,13,13,2014,2014,"Calendar Year (Jan - Dec), 2014"
2542,DWARIKA AT BISHNUPUR TOWN,WEST BENGAL,26,29,6.6,6.7,742,814,0.4,0.9,0.1,0.1,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2543,SDO OFFICE AT BISHNUPUR TOWN,WEST BENGAL,26,29,5.7,8,123,140,0.4,0.7,2.1,3.4,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2545,GROUND WATER POINT AT PURULIA RK MISSION,WEST BENGAL,27,32,6.8,7.5,485,1568,1.1,1.7,3.9,4.1,8,8,13,13,2014,2014,"Calendar Year (Jan - Dec), 2014"
2546,ULUBERIA COLLEGE AT HOWRAH,WEST BENGAL,26,29,7.9,8,969,987,0.3,0.7,0,0.8,4,4,13,13,2014,2014,"Calendar Year (Jan - Dec), 2014"
2547,"AMTOLA ON DIAMOND HARBOUR ROAD, 24 PARGANAS (S)",WEST BENGAL,26,27,7.1,8,1048,2140,0.3,1.4,0.1,0.6,500,500,900,900,2014,2014,"Calendar Year (Jan - Dec), 2014"
2548,"HIDCO OFFICE, RAJARHAT",WEST BENGAL,27,29,7.2,7.5,1832,2040,0.5,0.7,0.1,0.2,2,2,11,11,2014,2014,"Calendar Year (Jan - Dec), 2014"
2917,"NEAR HARMANDIR SAHEB, AMRITSAR, PUNJAB",PUNJAB,,,7,7,1470,1470,,,3,3,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
1934,CENTRAL HOWRAH-RESIDENTAIL AREA,WEST BENGAL,28,31,7.1,7.5,2,2398,0.5,1.3,0.3,0.3,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1935,INSIDE KOLKATA LEATHER COMPLEX,WEST BENGAL,29,30,7.1,7.6,1470,1482,1.3,1.6,0.1,0.3,50,50,70,70,2016,2016,"Calendar Year (Jan - Dec), 2016"
1936,RESIDENTIAL AREA - SONARPUR,WEST BENGAL,27,30,7.2,7.7,881,897,0.3,1,0.1,0.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1937,RAJARHAT - NEW TOWNSHIP,WEST BENGAL,28,30,7.9,8,255,997,1.5,2.7,0.1,0.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1938,BSIRHAT MUNICIPALITY,WEST BENGAL,28,32,6.8,8.4,1125,1786,0.1,1.4,0.2,0.6,0,0,0,0,2016,2016,"Calendar Year (Jan - Dec), 2016"
1939,BARRAKPORE MUNICIPALITY,WEST BENGAL,29,29,7,7.5,410,735,0.1,0.9,0.6,0.9,0,0,0,0,2016,2016,"Calendar Year (Jan - Dec), 2016"
1940,NEAR THE PHOSPHATE COMPANY- RISHRA,WEST BENGAL,26,28,7.1,7.3,554,836,0.5,0.8,0.3,0.9,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1941,"NEAR FLY ASH DUMPING SITE- KUNTIGHAT, BANDEL",WEST BENGAL,27,28,7.2,7.6,393,395,1.1,1.3,0.2,0.8,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1942,NEAR EXIDE INDUSTRIES-HALDIA,WEST BENGAL,33,34,7.5,7.6,1319,1380,0.4,0.8,0.1,0.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1943,"INSIDE TATA METALIKS, KHARAGPUR",WEST BENGAL,31,32,7.1,7.2,370,415,0.5,0.9,0,0,11,170,22,900,2016,2016,"Calendar Year (Jan - Dec), 2016"
1944,KHARAGPUR INDUSTRIAL AREA,WEST BENGAL,32,33,6.5,7.2,102,138,0.5,1,0.6,0.8,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1945,ENGLISH BAZAR- MALDAH,WEST BENGAL,23,28,7.3,7.3,558,696,0.5,0.6,0.2,0.2,0,0,0,0,2016,2016,"Calendar Year (Jan - Dec), 2016"
2510,GEOKHALI BUNGLOW MIDNAPUR- EAST,WEST BENGAL,28.5,33,7.5,8,1005,1038,0.2,0.5,0,0.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2515,"SDO OFFICE, RANAGHAT",WEST BENGAL,28,30,7.5,7.6,587,596,1.4,1.6,0.1,0.6,0,0,0,0,2016,2016,"Calendar Year (Jan - Dec), 2016"
2516,"SDO OFFICE, KRISHNANAGAR",WEST BENGAL,28,29,7.2,7.7,748,754,0.7,1.1,0.3,0.7,0,0,0,0,2016,2016,"Calendar Year (Jan - Dec), 2016"
26,WELL AT VIJAYWADA,ANDHRA PRADESH,22,26,7.51,8.03,960,1418,,,2.7,4.6,,,400,400,2016,2016,"Calendar Year (Jan - Dec), 2016"
1513,"BORE WELL. - KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGAR VIJJAYAWADA, KRISNA DIST",ANDHRA PRADESH,23,26,7.7,8,1214,1260,,,0,1.9,,,400,400,2016,2016,"Calendar Year (Jan - Dec), 2016"
1514,"BORE WELL - VIJAY KUMAR AUTONAGAR VIJAYAWADA, KRISHNA DIST",ANDHRA PRADESH,23,23,7.4,8,1010,1427,,,0.2,1.1,,,400,400,2016,2016,"Calendar Year (Jan - Dec), 2016"
1516,BORE WELL OF NAVLOK GARDENS NELLORE,ANDHRA PRADESH,,,8.5,8.6,557,670,,,0.5,0.6,,,400,400,2016,2016,"Calendar Year (Jan - Dec), 2016"
1517,BORE WELL. - TUNGBHADRA RIVER NEAR KURNOOL,ANDHRA PRADESH,23,29,7.6,7.9,4060,4220,0.7,1,2.1,2.6,,,18,18,2016,2016,"Calendar Year (Jan - Dec), 2016"
1518,"BORE WELL. - NANDYAL, KURNOOL DIST",ANDHRA PRADESH,22,28,7.7,7.9,4310,4310,0.8,1,2.3,3.2,,,16,16,2016,2016,"Calendar Year (Jan - Dec), 2016"
1519,"BORE WELL - NAGIRI, CHITTOOR DIST",ANDHRA PRADESH,28,31,7.7,8.2,1122,1406,0.5,1,1.8,1.9,,,16,16,2016,2016,"Calendar Year (Jan - Dec), 2016"
1520,"BORE WELL. - SWARNAMUKHI RIVER, SRIKALAHASTI, CHITTOOR DIST",ANDHRA PRADESH,28,30,7.8,8.3,659,744,0.7,1.2,1.1,1.1,,,16,16,2016,2016,"Calendar Year (Jan - Dec), 2016"
1521,"BORE WELL. - NEAR RAMA TEMPLE , WARD NO.2 , MINDI , VISAKHAPATNAM",ANDHRA PRADESH,26,26,7.3,7.5,2535,2813,2.2,2.6,5.2,5.3,11,11,460,460,2016,2016,"Calendar Year (Jan - Dec), 2016"
1522,OPEN WELL. PEDDANUYYI - VIZIANAGARAM,ANDHRA PRADESH,24,27,7.2,7.4,478,485,1.2,1.5,0.7,1,7,9,150,150,2016,2016,"Calendar Year (Jan - Dec), 2016"
1834,"HAND PUMP WATER NEAR GOVT. HOSPITAL, PURNEA",BIHAR,24,28,7.2,7.3,320,1210,,,0,0,7,7,14,14,2016,2016,"Calendar Year (Jan - Dec), 2016"
1523,"BORE WELL - NEAR M/S ANDHRA SUGARS LTD. , KOVVUR , W.G.DIST",ANDHRA PRADESH,26,26,5.9,7.8,324,395,1,1.2,1.2,1.3,9,11,14,21,2016,2016,"Calendar Year (Jan - Dec), 2016"
1524,"OPEN WELL. -NEAR PARTAP NAGAR BRIIDGE - KAKINADA , E.G.DIST",ANDHRA PRADESH,28,28,7.3,7.5,1105,1303,1.2,1.4,0.8,1.1,7,7,20,28,2016,2016,"Calendar Year (Jan - Dec), 2016"
3087,"BORE WELL NEAR VILLAGE SECRETARIAT, PATHAPADU (V), KRISHNA",ANDHRA PRADESH,25,25,7.8,8.2,1110,2180,0.5,0.5,0.2,7.7,,,400,400,2016,2016,"Calendar Year (Jan - Dec), 2016"
3089,"HAND PUMP AT TANAM VILL., VISHAKHAPATNAM",ANDHRA PRADESH,28,28,7.6,7.9,1537,1917,1,1.4,7.9,8,7,7,150,160,2016,2016,"Calendar Year (Jan - Dec), 2016"
3090,"HAND PUMP AT PITTAVANIPALEM, VISHAKHAPATNAM",ANDHRA PRADESH,26,26,7.2,7.6,1689,1796,1.4,1.6,9.9,11.6,7,7,15,21,2016,2016,"Calendar Year (Jan - Dec), 2016"
3091,"BORE WELL AT KAPULUPPADA DUMPSITE, VISHAKHAPATNAM",ANDHRA PRADESH,25,28,7.3,7.6,2536,2893,1.3,1.5,8,8,3,4,380,460,2016,2016,"Calendar Year (Jan - Dec), 2016"
3092,"BORE WELL AT ARINAMA AKKIVALASA, SRIKAKULAM",ANDHRA PRADESH,27,27,7.6,7.7,653,738,1.2,1.5,4.1,5.7,14,15,64,75,2016,2016,"Calendar Year (Jan - Dec), 2016"
3093,"B/W AT ALLADAPALEM VILLAGE, PYDIBHIMAVARAM, DISTT SRIKAKULAM",ANDHRA PRADESH,26,27,7.4,7.6,1375,1528,1,1.8,3.3,3.5,4,5,20,28,2016,2016,"Calendar Year (Jan - Dec), 2016"
1533,"DIGBOI, TINSUKIA DISTT",ASSAM,21,21,6.6,6.6,200,200,2.8,2.8,0.1,0.1,,,2100,2100,2016,2016,"Calendar Year (Jan - Dec), 2016"
1534,KARBI ANGLONG DISTT,ASSAM,24,26,6.2,6.9,561,827,1.3,2.7,0.3,0.3,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1535,SIBSAGAR,ASSAM,23,24,6.5,6.5,224,267,0.9,2.4,0.1,0.3,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1536,SIBSAGAR,ASSAM,23,25,6,6.8,127,245,1.8,2.7,0.1,0.4,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1537,(JORHAT,ASSAM,24,26,6.4,6.6,159,181,2.1,2.2,0.1,6,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1538,SILCHAR,ASSAM,26,27,5.6,6.2,57,91,0.5,0.9,0.4,0.7,,,73,73,2016,2016,"Calendar Year (Jan - Dec), 2016"
1539,BARPETA,ASSAM,29,29,6.3,7.6,246,264,1.2,3.4,3.1,3.2,,,910,2000,2016,2016,"Calendar Year (Jan - Dec), 2016"
1540,BONAIGAON,ASSAM,29,30,6.3,6.4,228,624,0.2,1.9,6.9,7.4,,,73,73,2016,2016,"Calendar Year (Jan - Dec), 2016"
1541,GUWAHATI,ASSAM,24,29,6.3,7.2,212,271,1.4,5.2,0.2,0.2,,,300,360,2016,2016,"Calendar Year (Jan - Dec), 2016"
1542,GUWAHATI,ASSAM,23,25,6.5,6.7,548,627,0.8,6.6,4.5,10.3,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2243,"GROUND WATER FROM LEDO, MARGHERITA",ASSAM,20,24,6.3,7.6,222,224,1.4,2.5,0.1,0.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2244,GROUND WATER FROM NAZIRA,ASSAM,24,25,6.7,7.4,193,202,1.3,2.4,0.1,0.2,,,36,36,2016,2016,"Calendar Year (Jan - Dec), 2016"
2245,GROUND WATER FROM NUMALIGARH (NEAR NRL TE LABOR COLONY),ASSAM,23,29,6,6.1,81,124,0.6,0.8,1,1.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2246,GROUND WATER FROM SEMENCHAPARI,ASSAM,22,23,6.9,7.2,108,194,0.6,2.3,0.1,0.3,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2247,GROUND WATER FROM SILAPATHAR,ASSAM,23,23,7,7.6,212,236,0.5,2.8,0.2,0.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2248,GROUND WATER FROM LAKHIMPUR TOWN,ASSAM,23,27,5.9,6.5,149,234,1.2,1.2,0.3,0.3,,,72,72,2016,2016,"Calendar Year (Jan - Dec), 2016"
2249,GROUND WATER FROM TEZPUR (MISSION CHARIALI),ASSAM,23,26,6.5,6.8,110,143,2.1,2.2,0.3,0.4,,,36,36,2016,2016,"Calendar Year (Jan - Dec), 2016"
2250,GROUND WATER FROM NAGAON (PANIGAON),ASSAM,29,29,6.2,6.5,250,283,1.2,1.9,0.2,0.2,,,360,600,2016,2016,"Calendar Year (Jan - Dec), 2016"
2251,GROUND WATER FROM JAGIROAD NEAR HPC EFFLUENT DISCHARGE POINT,ASSAM,30,32,5.6,6,767,997,2.4,3,9.2,11.1,,,900,900,2016,2016,"Calendar Year (Jan - Dec), 2016"
2252,GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI,ASSAM,22,26,6.7,6.8,215,375,0.6,1.3,0.1,0.1,,,600,2400,2016,2016,"Calendar Year (Jan - Dec), 2016"
2253,GROUND WATER FROM NALBARI,ASSAM,25,26,6.8,7,206,410,1.8,2.1,0.1,1.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2254,GROUND WATER FROM BARPETA ROAD(RLY STATION),ASSAM,29,30,6.8,7.1,552,719,1.2,2.8,0.8,0.9,,,700,1100,2016,2016,"Calendar Year (Jan - Dec), 2016"
2255,"GROUND WATER NEAR BPRL, DHALIGAON",ASSAM,28,30,6.2,6.9,157,252,1,1.8,4.9,5.2,,,73,73,2016,2016,"Calendar Year (Jan - Dec), 2016"
2256,GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ),ASSAM,29,29,6,6.1,101,196,0.7,1.3,0.1,0.2,,,36,36,2016,2016,"Calendar Year (Jan - Dec), 2016"
2257,GROUND WATER FROM DHUBRI DISTRICT (COLLEGE NAGAR ),ASSAM,29,30,7.1,7.4,437,443,0.7,1.1,0.1,0.1,,,2900,2900,2016,2016,"Calendar Year (Jan - Dec), 2016"
2258,GROUND WATER FROM GOALPARA DIST. (GOALPARA COLLEGE ),ASSAM,28,29,6.6,6.8,250,256,0.5,1.6,2.3,2.5,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2260,GROUND WATER FROM HAMREN,ASSAM,25,25,6,6.5,147,182,0.8,2,0.1,0.7,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2261,GROUND WATER FROM HAFLONG,ASSAM,23,23,7.8,7.8,131,131,1.5,1.5,0.1,0.1,,,91,91,2016,2016,"Calendar Year (Jan - Dec), 2016"
2262,GROUND WATER FROM KARIMGANJ (COLLEGE),ASSAM,25,27,6.1,6.2,85,87,0.9,1.2,0.1,0.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2263,GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ),ASSAM,25,26,6.7,6.9,135,139,1.6,2.2,1.7,1.7,,,110,110,2016,2016,"Calendar Year (Jan - Dec), 2016"
2264,GROUND WATER IN PANCHGRAM MARKET NEAR CACHAR PAPER MILL,ASSAM,25,26,6.1,6.1,146,174,0.8,2.5,0.6,0.8,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1826,"BORE WELL WATER AT BHUT NATH ROAD WATER TANK SEC-3, KANKARBAGH,PATNA",BIHAR,29,29,7,7,655,655,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1827,"TAP WATER COMING FROM OVER HEAD TANK PMCH CAMPUS, PATNA",BIHAR,27,28,7.1,7.7,552,616,,,0,0,4,7,10,14,2016,2016,"Calendar Year (Jan - Dec), 2016"
1828,"BORE WELL WATER IN CAMPUS OF PATNA WATER BOARD HEAD OFFICE, NEAR HIGH COURT, PATNA",BIHAR,27,28,7.1,7.4,592,657,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1829,"BORE WELL WATER FROM IGIMS CAMPUS, PATNA",BIHAR,29,32,6.9,7.5,556,634,,,0,0,2,2,4,4,2016,2016,"Calendar Year (Jan - Dec), 2016"
1830,"BORE WELL WATER (PHED PUMP HOUSE) SADAR HOSPITAL CAMPUS, MUZAFFARPUR",BIHAR,26,36,7.2,7.5,649,709,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1831,"BORE WELL WATER MMC PUMP HOUSE BRAHMPURA NAKA, MUZAFFARPUR",BIHAR,26,35,7.7,7.9,619,754,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1832,"TAP WATER IN CAMPUS OF KALI ASTHAN, BEGUSARAI",BIHAR,26,28,7.4,7.4,873,1960,,,0,0,5,5,8,8,2016,2016,"Calendar Year (Jan - Dec), 2016"
1833,"TAP WATER IN CAMPUS OF S.P OOFICE, POKHARIA, BEGUSARAI",BIHAR,26,28,7.4,7.5,1053,1060,,,0,0,7,7,14,14,2016,2016,"Calendar Year (Jan - Dec), 2016"
1835,"HAND PUMP WATER NEAR COURT LOWER COURT, PURNEA",BIHAR,24,28,7.3,7.4,1140,1140,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1836,"HAND PUMP WATER NEAR BUS STAND TILKS MANJHI CHOWK, BEGUSARAI",BIHAR,25,25,7.4,7.4,812,1180,,,0,0,9,9,14,14,2016,2016,"Calendar Year (Jan - Dec), 2016"
1837,BEGUSARAI,BIHAR,26,28,7.3,7.4,526,1200,,,0,0,4,6,6,14,2016,2016,"Calendar Year (Jan - Dec), 2016"
1838,"TAP WATER NEAR VEER KUWAR SINGH CHOWK, MUNGER",BIHAR,25,25,7.4,7.5,693,1140,,,0,0,7,7,14,14,2016,2016,"Calendar Year (Jan - Dec), 2016"
1839,"HAND PUMP WATER IN CAMPUS OF KASTURBA WATER WORKS, MUNGER",BIHAR,25,26,7.3,7.4,742,2090,,,0,0,7,7,9,9,2016,2016,"Calendar Year (Jan - Dec), 2016"
1840,"TAP WATER PHED PUMP HOUSE MAIN ROAD, MOTIHARI",BIHAR,25,33,7.5,7.7,659,696,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1841,"TAP WELL WATER FROM T. MODAL INTER SCHOOL, G.B ROAD, GAYA",BIHAR,25,32,7.1,7.5,494,1660,,,0,0,2,5,4,7,2016,2016,"Calendar Year (Jan - Dec), 2016"
1842,"TAP WATER SAMPLE AT RAMKUND, GAYA",BIHAR,25,31,7.5,8.6,481,586,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1843,"PHED WATER SUPPLY NEAR BUS STAND, RAJGIR",BIHAR,26,26,7.5,7.7,462,966,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1844,"BORE WELL WATER NEAR COMMISSIONARY OFFICE, CHAPRA",BIHAR,28,28,7.1,7.3,550,720,,,0,0,9,9,20,20,2016,2016,"Calendar Year (Jan - Dec), 2016"
2576,"HAND PUMP WATER AT CIVIL COURT, AURANGABAD",BIHAR,25,28,7.2,7.6,618,2340,,,0,0,7,7,14,14,2016,2016,"Calendar Year (Jan - Dec), 2016"
2577,"HAND PUMP WATER AT COURT CAMPOUND, ARARIA",BIHAR,26,28,7.2,7.4,360,890,,,0,0,4,7,6,14,2016,2016,"Calendar Year (Jan - Dec), 2016"
2578,"HAND PUMP WATER AT SARDAR PATEL BUS STAND, BHOJPUR",BIHAR,26,29,7.2,7.4,310,592,,,0,0,5,5,9,9,2016,2016,"Calendar Year (Jan - Dec), 2016"
2579,"TUBE WELL WATER AT COLLECTRIATE CAMPUS, BUXAR",BIHAR,26,27,7.3,7.3,732,740,,,0,0,7,7,14,14,2016,2016,"Calendar Year (Jan - Dec), 2016"
2580,"HAND PUMP WATER FROM NAGAR PARISHAD, BHABHUA",BIHAR,28,28,7.2,7.2,159,159,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2581,"HAND PUMP WATER AT KILA GATE NEAR RAMBAGH MITHILA UNIVERSITY, DARBHANGA",BIHAR,23,27,7.3,7.4,628,890,,,0,0,4,4,9,9,2016,2016,"Calendar Year (Jan - Dec), 2016"
2582,"HAND PUMP WATER AT DARBHANGA BUS STAND, DARBHANGA",BIHAR,24,27,7.2,8,634,725,,,0,0,4,7,6,14,2016,2016,"Calendar Year (Jan - Dec), 2016"
2583,"HAND PUMP WATER AT BUS STAND, GOPALGANJ",BIHAR,23,25,7,7.4,670,1994,,,0,0,4,4,8,8,2016,2016,"Calendar Year (Jan - Dec), 2016"
2584,"HAND PUMP WATER AT THAWAY MANDIR CAMPUS, GOPALGANJ",BIHAR,24,28,7.1,7.3,750,1580,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2585,"TAP WATER NEAR PANI TANKI AT JAHANABAD COURT, JAHANABAD",BIHAR,25,28,7.4,7.5,690,1120,,,0,0,5,5,18,18,2016,2016,"Calendar Year (Jan - Dec), 2016"
2586,"HAND PUMP WATER AT BUS STAND, KATIHAR",BIHAR,27,32,7,7.2,374,726,,,0,0,5,5,7,7,2016,2016,"Calendar Year (Jan - Dec), 2016"
2587,"HAND PUMP WATER NEAR SADAR HOSPITAL, KHAGARIA",BIHAR,22,24,7.4,7.4,779,915,,,0,0,4,4,6,6,2016,2016,"Calendar Year (Jan - Dec), 2016"
2588,"HAND PUMP WATER AT D.M OFFICE, KISHANGANJ",BIHAR,24,34,7.2,7.4,380,1040,,,0,0,5,5,7,7,2016,2016,"Calendar Year (Jan - Dec), 2016"
2589,"HAND PUMP WATER NEAR D.M OFFICE, MADHEPURA",BIHAR,25,33,7.4,7.4,657,657,,,0,0,4,4,6,8,2016,2016,"Calendar Year (Jan - Dec), 2016"
2590,"HAND PUMP WATER AT COLLECTRIATE OFFICE, MADHUBANI",BIHAR,22,27,7.5,7.6,450,747,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2591,"TAP WATER INSIDE THE CAMPUS OF TOURIST CAFETERIA, NALANDA",BIHAR,25,25,7.5,7.6,859,1200,,,0,0,4,7,6,17,2016,2016,"Calendar Year (Jan - Dec), 2016"
2592,"HAND PUMP WATER AT CIVIL COURT, NALANDA",BIHAR,25,25,7.4,7.6,820,820,,,0,0,4,5,6,7,2016,2016,"Calendar Year (Jan - Dec), 2016"
2594,SAHARSA HAND PUMP WATER NEAR SADAR HOSPITAL,BIHAR,25,26,7.4,7.4,500,500,,,0,0,7,7,14,14,2016,2016,"Calendar Year (Jan - Dec), 2016"
2595,SAMASTIPUR HAND PUMP WATER AT COLLECTRIATE CAMPUS,BIHAR,24,30,7.2,7.4,466,926,,,0,0,3,3,7,7,2016,2016,"Calendar Year (Jan - Dec), 2016"
2596,SITAMARHI- HAND PUMP WATER AT SRI JANKI MANDIR,BIHAR,25,35,7.7,8.2,721,835,,,0,0,4,4,6,7,2016,2016,"Calendar Year (Jan - Dec), 2016"
2597,SIWAN BOREWELL WATER AT COLLECTRIATE CAMPUS,BIHAR,28,28,7.4,7.5,739,1610,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2598,ROHTAS BORE WELL WATER FROM WATER TANK NEAR DHARMA SHALA SASARAM,BIHAR,26,28,7.4,7.9,329,890,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2599,ROHTAS HAND PUMP WATER AT BUST STAND SASARAM,BIHAR,26,28,7.4,7.6,694,830,,,0,0,7,7,9,9,2016,2016,"Calendar Year (Jan - Dec), 2016"
2600,VAISHALI TAP WATER AT RAILWAY STATION CAMPUS HAZIPUR,BIHAR,24,35,7.4,7.6,925,1134,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
3138,ARA (BHOJPUR) BORE WELL WATER AT STATION RAOD NEAR RLY STATION,BIHAR,26,28,7.2,7.5,861,905,,,0,0,4,4,6,6,2016,2016,"Calendar Year (Jan - Dec), 2016"
3139,ARARIA HAND PUMP WATER AT BUS STAND,BIHAR,26,28,7.2,7.4,370,1020,,,0,0,4,5,6,11,2016,2016,"Calendar Year (Jan - Dec), 2016"
3140,BETTIAH HAND PUMP WATER AT RAILWAY STATION,BIHAR,22,30,7.2,7.7,376,1883,,,0,0,5,5,8,8,2016,2016,"Calendar Year (Jan - Dec), 2016"
3141,BODHGAYA HAND PUMP WATER NEAR LONG LORD BUDHA TEMPLE,BIHAR,26,28,7.6,7.6,400,516,,,0,0,4,5,6,14,2016,2016,"Calendar Year (Jan - Dec), 2016"
3142,BIKRAMGANJ HAND PUMP WATER AT BUS STAND CHOWK,BIHAR,26,26,7.3,7.3,518,518,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
3143,BAGAHA HAND PUMP WATER AT BAGAHA BAZAR,BIHAR,36,36,7.3,7.3,698,698,,,0,0,4,4,8,8,2016,2016,"Calendar Year (Jan - Dec), 2016"
3144,BARH HAND PUMP WATER NEAR A.N.S. COLLEGE BARH,BIHAR,25,26,7.4,7.5,831,996,,,0,0,5,5,9,9,2016,2016,"Calendar Year (Jan - Dec), 2016"
3145,DEHRI ON SONE HAND PUMP WATER NERA MUFFASIL THANA MORE,BIHAR,25,27,6.9,7.8,620,971,,,0,0,7,7,9,9,2016,2016,"Calendar Year (Jan - Dec), 2016"
3146,"DUMRAON BORE WELL WATER AT PANI TANKI, BUXAR DUMRAON ROAD",BIHAR,26,27,7.3,7.6,606,2090,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
3147,JAYNAGAR HAND PUMP WATER AT RAILWAY STATION,BIHAR,22,27,7.3,7.6,461,728,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
3148,JAMALPUR HAND PUMP WATER AT POLICE STAITION JAMALPUR,BIHAR,25,25,7.4,7.5,686,1040,,,0,0,4,7,6,9,2016,2016,"Calendar Year (Jan - Dec), 2016"
3149,KUDRA HAND PUMP WATER AT RAILWAY STATION,BIHAR,25,27,7.1,7.7,556,1220,,,0,0,7,7,17,17,2016,2016,"Calendar Year (Jan - Dec), 2016"
3150,MANER HAND PUMP WATER AT MAIN ROAD NEAR KALI MANDIR,BIHAR,25,30,7.3,7.7,343,555,,,0,0,5,5,8,8,2016,2016,"Calendar Year (Jan - Dec), 2016"
3151,MOHANIA HAND PUMP WATER AT MOHANIA GUEST HOUSE,BIHAR,28,28,7.3,7.3,1130,1130,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
3152,NARKATIAGANJ HAND PUMP WATER AT BUS STAND,BIHAR,26,28,7.4,8.1,688,876,,,0,0,7,7,14,14,2016,2016,"Calendar Year (Jan - Dec), 2016"
3153,PIRO HAND PUMP WATER AT CHURCH HIGH SCHOOL PIRO,BIHAR,26,26,7.2,7.2,849,849,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
3154,GAYA TAP WATER SAMPLE AT RAMKUND,BIHAR,25,29,6.9,7.6,555,1420,,,0,0,4,7,6,11,2016,2016,"Calendar Year (Jan - Dec), 2016"
3155,SUPAUL HAND PUMP WATER AT BUS STAND,BIHAR,25,37,7.5,7.5,970,970,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
3156,SAMASTIPUR HAND PUMP WATER AT BUS STAND,BIHAR,24,30,7.3,7.3,450,917,,,0,0,4,7,6,14,2016,2016,"Calendar Year (Jan - Dec), 2016"
3157,SULTANGANJ HAND PUMP WATER AT SULTANGANJ CHAWK,BIHAR,25,28,7.4,7.5,328,843,,,0,0,4,4,5,5,2016,2016,"Calendar Year (Jan - Dec), 2016"
